iter	RMSE
887	9186.446402
888	9184.842593
889	9177.977468
890	9174.972765
891	9167.908101
892	9165.23155
893	9158.699374
894	9153.673666
895	9150.672165
896	9148.877195
897	9135.161098
898	9129.474752
899	9113.099593
900	9102.236547
901	9093.088089
902	9092.07179
903	9086.57624
904	9081.118086
905	9076.314414
906	9071.261337
907	9064.35801
908	9044.998397
909	9038.592644
910	9035.001807
911	9028.376096
912	9024.776088
913	9023.87334
914	9020.413719
915	9015.732753
916	9004.031773
917	8994.636947
918	8986.302816
919	8976.141013
920	8964.921382
921	8954.648153
922	8954.169584
923	8951.934112
924	8948.540505
925	8946.832063
926	8942.544352
927	8931.380941
928	8919.744525
929	8918.641185
930	8909.201016
931	8906.639024
932	8904.349268
933	8898.040622
934	8896.278201
935	8893.668233
936	8888.877324
937	8873.992337
938	8866.101954
939	8861.7321
940	8854.007452
941	8852.635357
942	8851.483176
943	8845.580754
944	8834.434277
945	8829.189098
946	8824.353931
947	8822.853794
948	8822.017447
949	8820.127928
950	8807.335305
951	8803.007478
952	8787.525835
953	8778.306769
954	8771.079823
955	8769.86872
956	8757.640298
957	8742.930634
958	8742.210499
959	8738.844277
960	8734.364995
961	8732.475038
962	8725.254375
963	8719.041849
964	8718.574281
965	8707.915834
966	8704.286304
967	8702.28328
968	8688.158365
969	8687.774749
970	8675.821053
971	8674.986494
972	8668.40747
973	8664.201854
974	8661.56492
975	8661.114738
976	8654.380216
977	8645.531489
978	8640.570726
979	8631.48342
980	8623.671351
981	8619.125745
982	8617.51827
983	8616.586871
984	8615.048292
985	8611.371262
986	8603.202864
987	8596.662494
988	8588.828235
989	8577.058193
990	8573.417885
991	8572.329564
992	8569.386323
993	8566.393675
994	8555.564736
995	8554.839732
996	8551.380358
997	8546.885676
998	8541.27194
999	8537.91919
